ORF	lfc
CgDCS1	-3.011658318
CgENO1	-1.126630409
CAGL0I05698g	-1.121997076
CgMOT2	-1.119533043
CgDHH1	-0.88402263
CgLRP1	-0.868274427
CgDCP1	-0.801389456
CgNOT5	-0.714497545
CgCAF40	-0.635783626
CAGL0J00275g	-0.547816364
CgLSM6	-0.537660782
CgLSM4	-0.535093001
CgPOP2	-0.476754983
CgLSM5	-0.445178019
CgRRP6	-0.433536156
CgMPP6	-0.407273398
CgRRP42	-0.275130005
CgEDC3	-0.272285869
CgCDC36	-0.231664934
CgRRP40	-0.218849815
CgTRF5	-0.149121213
CgNOT3	0.222126983
CgCAF16	0.239710467
CgCCR4	0.281057245
CgSKI6	0.283852569
CgCAF120	0.292381038
CgHSP60	0.310956149
CgLSM3	0.364819836
CgPFK2	0.382777448
CgSKI2	0.405034748
CgSKI8	0.464422133
CgSSQ1	0.584329994
CgPAP2	0.641019113
CgSSC1	0.67832345
CgSKI3	0.735316662
CgDCP2	0.790460313
CgSKI7	0.793566704
CgXRN1	0.831083607
CgLSM7	0.891067877
CgLSM1	1.065342884
CgPAT1	1.092996673
CgAIR2	1.351103766
CgPAN3	1.469427642
CgPAB1	1.494618073
CgRRP43	1.719566122
CgCDC39	1.733828136
CgLSM2	1.747863907
CgRRP46	1.830563138
CgLSM8	2.149802145
CgMTR4	2.159585305
CgCSL4	2.361166421
CAGL0H04411g	2.476984225
CgPFK1	2.526438559
CgECM10	2.56088488
CgPAN2	2.620970982
CgRAT1	2.636706345
CAGL0H07205g	2.872117583
CgAIR1	3.43685978
CgMTR3	3.545192402
CgENO2	4.701089863
