gene_name	5m	15m	30m	adapt	Class
CgACE2	-0.037440165	-1.168441412	-1.589390642	0.427374571	Biofilm_formation
CgADA2	-0.0038193	-0.029110019	-0.130487629	0.896085951	Biofilm_formation
CgARG81	-0.186504274	-0.281297059	-0.2578138	-1.132839663	Biofilm_formation
CAGL0B04565g	-0.01268582	0.015293708	-0.059912225	0.809508586	Biofilm_formation
CAGL0D01782g	0.076062278	-0.162807197	1.563217291	-2.311876384	Biofilm_formation
CAGL0D02838g	-0.097659425	-0.760415468	-3.182084626	3.537918764	Biofilm_formation
CAGL0D03168g	-0.144425848	-0.296958195	-0.32865482	-1.551940855	Biofilm_formation
CAGL0E03245g	-0.01816816	-0.833654335	-4.094505696	0.586213295	Biofilm_formation
CAGL0E05566g	-0.109887874	1.907718646	0.042931401	0.429720681	Biofilm_formation
CAGL0F00407g	-0.137628984	0.238265901	-0.794639627	3.886767739	Biofilm_formation
CAGL0F06743g	0.016180126	0.067918471	0.687459016	1.228622639	Biofilm_formation
CAGL0G00220g	-0.184810359	-0.211607224	-0.37503223	0.29742261	Biofilm_formation
CAGL0G01628g	-0.250513225	-0.462331002	-1.16998957	-0.537299207	Biofilm_formation
CAGL0G03883g	0.249743634	3.698616974	2.065228559	-1.740927434	Biofilm_formation
CAGL0G05313g	-0.101476962	-0.255543127	-1.197109676	-0.777379801	Biofilm_formation
CAGL0G08822g	0.005406197	-0.299439704	-0.161041843	-0.689990025	Biofilm_formation
CAGL0G09020g	0.41875409	1.505390866	3.109585183	-3.206635472	Biofilm_formation
CAGL0G09361g	0.096818633	0.328541751	0.887915065	-0.343368918	Biofilm_formation
CAGL0H00396g	-0.114824532	-0.611943131	-0.969658186	-1.188636128	Biofilm_formation
CAGL0H02145g	0.128686554	0.489126964	0.197564281	0.815815137	Biofilm_formation
CAGL0H03223g	0.117332527	0.033421865	0.514862766	-1.026674441	Biofilm_formation
CAGL0I00308g	0.068727006	0.172590416	1.251572805	-1.085396609	Biofilm_formation
CAGL0I00484g	0.025081471	-0.2619039	-0.041759239	6.346913102	Biofilm_formation
CAGL0I01584g	-0.089035336	-0.435614622	-0.71922221	1.035670098	Biofilm_formation
CAGL0I05852g	-0.207637962	-0.668854038	-0.05467676	1.318993091	Biofilm_formation
CAGL0I09240g	-0.223664016	-0.262383744	-1.14766127	1.018635486	Biofilm_formation
CAGL0J03102g	-0.098426409	-0.114268426	0.212990939	-1.119533043	Biofilm_formation
CAGL0J08140g	0.224789786	-0.059456666	-0.419696317	0.811064507	Biofilm_formation
CAGL0J09922g	-0.238707903	-0.661557801	-1.183093006	0.981371089	Biofilm_formation
CAGL0J10472g	-0.111242225	0.081334027	0.627467831	0.257835501	Biofilm_formation
CAGL0J11836g	0.04368552	-0.049208379	0.303326728	-3.798672205	Biofilm_formation
CAGL0K00979g	0.291308655	0.032792948	-0.083264821	2.179185332	Biofilm_formation
CAGL0K02277g	-0.007959442	0.003396956	-0.220251267	-0.151746145	Biofilm_formation
CAGL0K03003g	-0.270460066	0.606878061	0.643355447	-0.643395465	Biofilm_formation
CAGL0K04631g	-0.352774105	0.105760564	0.833063101	-0.389810553	Biofilm_formation
CAGL0K07007g	0.058463992	-0.06087793	-2.769302717	0.005231762	Biofilm_formation
CAGL0K12606g	-0.082852875	0.13315878	-0.225958954	0.278610484	Biofilm_formation
CAGL0L00583g	-0.599298453	-0.274231931	-0.38774868	-1.935395868	Biofilm_formation
CAGL0L01001g	0.044895901	-0.473885622	-1.11327076	0.222126983	Biofilm_formation
CAGL0L01419g	0.060589852	-0.009508719	0.055535295	4.093703589	Biofilm_formation
CAGL0L01551g	0.095533792	-0.166293262	-0.860110384	1.473005224	Biofilm_formation
CAGL0L02277g	0.11063928	0.071911816	0.028759764	-0.190780567	Biofilm_formation
CAGL0L02453g	0	0.6943741	-0.610599277	-1.93214285	Biofilm_formation
CAGL0L05874g	-0.056217334	-0.215651155	-0.344381178	0.831083607	Biofilm_formation
CAGL0L06336g	0	0	1.460289481	-1.120757558	Biofilm_formation
CAGL0L06534g	0.301582729	-0.058479462	-0.579028745	0.490391386	Biofilm_formation
CAGL0L07216g	-0.106777967	-0.080894086	-0.320148941	3.040573768	Biofilm_formation
CAGL0L07480g	0.121317407	0.260602165	0.433158374	2.828258512	Biofilm_formation
CAGL0L11550g	-0.066124429	-0.573570229	-0.391876595	0.525475503	Biofilm_formation
CAGL0M00220g	-0.115641458	-0.002311686	0.052314487	1.135736492	Biofilm_formation
CAGL0M01716g	0.030343677	-0.237031571	-1.579467205	-3.03310071	Biofilm_formation
CAGL0M07634g	0.20343148	0.502113199	-0.387424225	-1.00939645	Biofilm_formation
CAGL0M09955g	0.050383065	0.294711972	0.423935197	-1.742664151	Biofilm_formation
CgCBK1	-0.237110176	-0.316720997	0.036120158	1.839516163	Biofilm_formation
CgECM33	0.225478689	0.30492926	-0.660652466	4.164674718	Biofilm_formation
CgEPA6	0.094976063	0.717955874	1.671868439	-1.120964679	Biofilm_formation
CgGCN4	-0.545060151	-0.42304407	-0.109281243	-1.284393333	Biofilm_formation
CgKRE2	0.095670983	0.047617869	-0.263125971	2.72467258	Biofilm_formation
CgMET4	0.151440407	0.384740065	0.254616406	0.131779613	Biofilm_formation
CgMP65	-0.061545401	-0.432960225	-1.013140709	3.009391014	Biofilm_formation
CgNDT80	-0.316339048	-1.570165648	-2.792545765	-0.347565185	Biofilm_formation
CgPDE2	-0.258963975	-0.092610042	-0.05319744	-0.796829977	Biofilm_formation
CgPEP12	0.110234207	0.064175694	1.269942743	-2.618518223	Biofilm_formation
CgPMT2	0.068113323	0.028539635	-0.131686571	2.725410491	Biofilm_formation
CgRAS1	0.047294601	-0.085905381	0.026368139	-2.167230192	Biofilm_formation
CgRHR2	-0.148814292	0.671540191	1.387189581	3.886949928	Biofilm_formation
CgRIF1	-0.078203216	-0.778620134	-1.061948289	1.807489924	Biofilm_formation
CgSIR4	-0.101276494	-0.375956729	-0.180769286	0.388223997	Biofilm_formation
CgSLT2	0.166252312	0.201569692	0.774440757	-0.608954186	Biofilm_formation
CgSNF1	0.280363044	0.409455764	0.880356583	-2.012361702	Biofilm_formation
CgSNF5	-0.183239721	-0.562914468	-0.765759908	0.411692765	Biofilm_formation
CgSTE2	-0.448982421	-0.432610101	-0.339099223	0.253637956	Biofilm_formation
CgSUV3	-0.222957613	-0.915702383	-1.529454558	1.328405725	Biofilm_formation
CgTPO1_2	0.175286525	1.45544044	0.629922631	-5.275590462	Biofilm_formation
CgVPS1	0.262888232	0.414890377	0.973223832	0.240778584	Biofilm_formation
CgWAR1	0.061951531	-0.278971311	-0.769697002	-2.045588555	Biofilm_formation
CgYAK1	-0.062534656	-0.066995439	2.093624045	-0.493417725	Biofilm_formation
CgYAP3	0.051081705	1.150733135	1.040366919	-1.138679467	Biofilm_formation
CgZAP1	0.486043237	-0.20999029	-0.640519897	-1.557296856	Biofilm_formation
CAGL0I09702g	0.6363	5.081	4.0287	0.2643	Drug_transport
CAGL0E04004g	0.002	3.3651	3.475	-2.3026	Drug_transport
CAGL0M03003g	-0.5696	1.288	2.9466	0.4277	Drug_transport
CAGL0G05247g	0.0857	1.0699	3.1883	-0.2763	Drug_transport
CAGL0C04719g	0.0889	1.0072	2.1349	-0.0351	Drug_transport
CAGL0K04367g	-0.5257	1.3572	1.2733	-0.4943	Drug_transport
CAGL0K02761g	0.1799	0.3594	0.9254	-0.6079	Drug_transport
CAGL0J04488g	-0.1918	0.1702	1.1808	-0.5811	Drug_transport
CAGL0H03927g	0.0815	0.4402	1.1129	-1.1065	Drug_transport
CAGL0E06468g	0.3416	0.2929	0.6114	0.2507	Drug_transport
CAGL0F03465g	-0.1005	-0.0052	0.1691	-0.5098	Drug_transport
CAGL0F08305g	-0.1776	1.0581	1.7242	-1.847	Drug_transport
CAGL0G03619g	0.0132	-0.2218	1.4557	-1.4928	Drug_transport
CAGL0M01078g	-0.1398	0.1138	0.7018	-1.2236	Drug_transport
CAGL0E03982g	0.1355	-0.1314	0.461	-1.5001	Drug_transport
CAGL0D02420g	-0.6284	-0.3427	0.7892	-1.4457	Drug_transport
CAGL0J07502g	-0.64	1.2038	-0.1635	-0.363	Drug_transport
CAGL0K05753g	0.2928	0.2412	-1.0258	-0.8171	Drug_transport
CAGL0J05522g	0.0801	-0.527	-0.5265	-1.4767	Drug_transport
CAGL0D04774g	-0.1337	-0.2564	-0.6602	-1.5399	Drug_transport
CAGL0K07073g	-0.14	-0.6061	0.1659	-1.5677	Drug_transport
CAGL0E05632g	1.6024	0.8786	0.3124	-2.3901	Drug_transport
