gene_name	5m	15m	30m	adapt
CAGL0I09702g	0.6363	5.081	4.0287	0.2643
CAGL0E04004g	0.002	3.3651	3.475	-2.3026
CAGL0M03003g	-0.5696	1.288	2.9466	0.4277
CAGL0G05247g	0.0857	1.0699	3.1883	-0.2763
CAGL0C04719g	0.0889	1.0072	2.1349	-0.0351
CAGL0K04367g	-0.5257	1.3572	1.2733	-0.4943
CAGL0K02761g	0.1799	0.3594	0.9254	-0.6079
CAGL0J04488g	-0.1918	0.1702	1.1808	-0.5811
CAGL0H03927g	0.0815	0.4402	1.1129	-1.1065
CAGL0E06468g	0.3416	0.2929	0.6114	0.2507
CAGL0F03465g	-0.1005	-0.0052	0.1691	-0.5098
CAGL0F08305g	-0.1776	1.0581	1.7242	-1.847
CAGL0G03619g	0.0132	-0.2218	1.4557	-1.4928
CAGL0M01078g	-0.1398	0.1138	0.7018	-1.2236
CAGL0E03982g	0.1355	-0.1314	0.461	-1.5001
CAGL0D02420g	-0.6284	-0.3427	0.7892	-1.4457
CAGL0J07502g	-0.64	1.2038	-0.1635	-0.363
CAGL0K05753g	0.2928	0.2412	-1.0258	-0.8171
CAGL0J05522g	0.0801	-0.527	-0.5265	-1.4767
CAGL0D04774g	-0.1337	-0.2564	-0.6602	-1.5399
CAGL0K07073g	-0.14	-0.6061	0.1659	-1.5677
CAGL0E05632g	1.6024	0.8786	0.3124	-2.3901
CAGL0H05181g	0.0459	0.1181	1.1091	-3.2129
CAGL0F04213g	0.1477	-0.0669	0.3783	-2.6245
CAGL0J08294g	0.0028	-0.5422	0.3349	-4.0257
CAGL0L07766g	0.2217	1.2158	-0.1803	-7.0786
CAGL0M09020g	8.00E-04	0.5761	1.7454	-7.9809
CAGL0M03465g	0.1104	0.3488	1.0197	-8.6274
CAGL0B02343g	-0.3932	1.0543	0.8507	4.1116
CAGL0L08052g	0.0955	0.2618	0.4389	3.91
CAGL0J01375g	0.1853	0.1845	0.1033	2.9108
CAGL0H03839g	0.0509	0.3236	1.4065	1.846
CAGL0K04565g	-0.6409	0	1.0847	3.9755
CAGL0M08448g	-0.2211	-0.4694	-1.6802	4.5833
CAGL0K10362g	-0.2149	-1.1579	-2.6803	3.3966
CAGL0B04455g	0.3629	0.4442	-0.3208	1.7348
CAGL0L02079g	0.181	-0.0514	0.0613	1.9436
CAGL0B01012g	1.0589	0.0053	-0.9425	1.7842
CAGL0J00495g	-0.1971	-0.5076	-0.7932	2.6343
CAGL0L10912g	-0.2682	0.4523	-1.3464	2.2978
CAGL0H03399g	0.2321	0.0656	0.0635	0.8053
CAGL0L09020g	-0.1517	-0.0212	0.2529	1.0379
CAGL0D03036g	0.3566	-0.3165	0.5525	0.3301
CAGL0K07436g	-8.00E-04	-0.1181	-0.3377	0.2477
CAGL0H10538g	-0.0772	-0.3654	-0.296	0.4122
CAGL0K02365g	-0.1504	-0.2389	-0.3505	0.2975
CAGL0D01606g	-0.0841	-0.0061	-0.7439	-0.0843
CgAQR1	-0.4434	-0.7527	-2.3088	8.3818
CgCDR1	0.3514	-0.4411	-1.5617	0.6819
CgDTR1	0.3569	0.0267	-0.134	0.2536
CgFLR1	0.0611	1.8242	2.3715	0.7884
CgFLR2	0.2004	0.9021	0.4871	-0.524
CgFPS1	0.196	1.0268	0.096	-1.2219
CgGAP1	0.3569	0.5745	1.5523	-2.1037
CgPDH1	0.0517	0.5324	0.9703	-3.1062
CgQDR2	-0.5413	1.7718	0.1556	-2.303
CgSNF7	0.5849	0.7764	0.9788	-2.2373
CgSNQ2	0.1509	0.8296	0.9814	-1.4146
CgTHI7	-0.205	-0.5779	0.1101	-1.7977
CgTNA1	0.3066	0.0612	-0.3703	3.4624
CgTPO1_1	0.1815	-0.1204	-2.8284	0.8442
CgTPO3	0.4221	3.6886	0.2445	-0.2427
CgVPS24	-0.0242	0.152	0.3751	-1.6351
CgVPS27	0.0508	0.7557	1.3867	-0.9717
CgYHB1	0.0994	0.2396	-0.7246	0.1884
CgYOR1	-0.0925	-0.0025	-0.2945	-1.2698
