adapt_Down	adapt_Up	immediate_Down	immediate_Up
CAGL0A01826g	CAGL0D03850g	CAGL0B01595g	CAGL0A01199g
CAGL0H06633g	CAGL0M00902g	CAGL0E05456g	CAGL0B01012g
CAGL0M03465g	CAGL0L05016g	CAGL0E05984g	CAGL0B02475g
CAGL0E05984g	CAGL0D04004g	CAGL0G02739g	CAGL0C00275g
CAGL0G05632g	CAGL0L10824g	CAGL0G03531g	CAGL0C00781g
CAGL0H04939g	CAGL0E04752g	CAGL0I07293g	CAGL0C00825g
CAGL0M09020g	CAGL0G05005g	CAGL0I10692g	CAGL0C01397g
CAGL0B04213g	CAGL0F06347g	CAGL0A00231g	CAGL0C02321g
CAGL0K10428g	CAGL0G07997g	CAGL0A00627g	CAGL0C02365g
CAGL0K12518g	CAGL0I04334g	CAGL0A00869g	CAGL0C05621g
CAGL0L07766g	CAGL0D04180g	CAGL0A01155g	CAGL0D02662g
CAGL0J11550g	CAGL0K07920g	CAGL0A01760g	CAGL0D06688g
CAGL0K03459g	CAGL0K10582g	CAGL0A02321g	CAGL0E04554g
CAGL0K07337g	CAGL0K06919g	CAGL0A02992g	CAGL0E05632g
CAGL0F07953g	CAGL0J02882g	CAGL0A03432g	CAGL0F00605g
CAGL0E03366g	CAGL0I09240g	CAGL0A03498g	CAGL0F04279g
CAGL0K07271g	CAGL0G02167g	CAGL0A03586g	CAGL0F04521g
CAGL0G05544g	CAGL0L04862g	CAGL0A03828g	CAGL0F08085g
CAGL0M13266g	CAGL0D01188g	CAGL0A03905g	CAGL0F08745g
CAGL0G02563g	CAGL0I09548g	CAGL0A04169g	CAGL0F08767g
CAGL0D00154g	CAGL0G01364g	CAGL0A04367g	CAGL0G01122g
CAGL0B04917g	CAGL0M10659g	CAGL0A04389g	CAGL0G05522g
CAGL0H06622g	CAGL0L00407g	CAGL0B01397g	CAGL0G06710g
CAGL0A01870g	CAGL0G08932g	CAGL0B01485g	CAGL0G09647g
CAGL0J03058g	CAGL0E04664g	CAGL0B01771g	CAGL0H00704g
CAGL0B00286g	CAGL0K05269g	CAGL0B02079g	CAGL0H04939g
CAGL0D01265g	CAGL0K09614g	CAGL0B02145g	CAGL0H05137g
CAGL0L03377g	CAGL0A03784g	CAGL0B02673g	CAGL0H07337g
CAGL0G05269g	CAGL0F07623g	CAGL0B04169g	CAGL0I00286g
CAGL0C05027g	CAGL0L10714g	CAGL0B04851g	CAGL0I08591g
CAGL0I02134g	CAGL0I05456g	CAGL0B04873g	CAGL0I10010g
CAGL0J04202g	CAGL0I01584g	CAGL0C00561g	CAGL0J01683g
CAGL0E03674g	CAGL0E05742g	CAGL0C01639g	CAGL0J03080g
CAGL0L04686g	CAGL0F04235g	CAGL0C02211g	CAGL0J03212g
CAGL0B02563g	CAGL0A00803g	CAGL0C02299g	CAGL0J05390g
CAGL0L08481g	CAGL0C05357g	CAGL0C03135g	CAGL0J10494g
CAGL0H03971g	CAGL0G00330g	CAGL0C04136g	CAGL0K04719g
CAGL0K02629g	CAGL0L09020g	CAGL0C04389g	CAGL0K07183g
CAGL0G09086g	CAGL0B01705g	CAGL0C04411g	CAGL0K08338g
CAGL0A01199g	CAGL0H06127g	CAGL0C04851g	CAGL0L00231g
CAGL0J04906g	CAGL0E00605g	CAGL0D00220g	CAGL0L05258g
CAGL0J00451g	CAGL0G09581g	CAGL0D00682g	CAGL0L05280g
CAGL0G01738g	CAGL0C04026g	CAGL0D00880g	CAGL0L05742g
CAGL0D01892g	CAGL0L10626g	CAGL0D01716g	CAGL0L06424g
CAGL0J02530g	CAGL0B04015g	CAGL0D02684g	CAGL0L08536g
CAGL0H04851g	CAGL0I08503g	CAGL0D02816g	CAGL0L09383g
CAGL0L02167g	CAGL0L11506g	CAGL0D02860g	CAGL0M02629g
CAGL0E01815g	CAGL0L06842g	CAGL0D03410g	CAGL0M05401g
CAGL0B01595g	CAGL0A00231g	CAGL0D04180g	CAGL0M11902g
CAGL0K05247g	CAGL0F02431g	CAGL0D04642g	CAGL0A00121g
CAGL0F03883g	CAGL0I08899g	CAGL0D04884g	CAGL0A00517g
CAGL0K06105g	CAGL0L03542g	CAGL0D05236g	CAGL0A00539g
CAGL0J11891g	CAGL0L04224g	CAGL0D05258g	CAGL0A00561g
CAGL0I07865g	CAGL0C04136g	CAGL0D06094g	CAGL0A01243g
CAGL0H08778g	CAGL0I08591g	CAGL0D06644g	CAGL0A01650g
CAGL0M12551g	CAGL0E06314g	CAGL0E00209g	CAGL0A01716g
CAGL0H09460g	CAGL0H05907g	CAGL0E00253g	CAGL0A02046g
CAGL0E06688g	CAGL0L12144g	CAGL0E00649g	CAGL0A03102g
CAGL0F07777g	CAGL0L05544g	CAGL0E01705g	CAGL0A03476g
CAGL0C02739g	CAGL0A02387g	CAGL0E02233g	CAGL0A04081g
CAGL0M12793g	CAGL0H09218g	CAGL0E02343g	CAGL0A04675g
CAGL0K12958g	CAGL0C00539g	CAGL0E02409g	CAGL0A04697g
CAGL0D00418g	CAGL0H04301g	CAGL0E02673g	CAGL0A04906g
CAGL0B03531g	CAGL0I02882g	CAGL0E02893g	CAGL0B00143g
CAGL0B04323g	CAGL0J04378g	CAGL0E03047g	CAGL0B00902g
CAGL0C01793g	CAGL0M10593g	CAGL0E03806g	CAGL0B00990g
CAGL0F00869g	CAGL0I09064g	CAGL0E04224g	CAGL0B01419g
CAGL0G03773g	CAGL0C00715g	CAGL0E05720g	CAGL0B02343g
CAGL0C03223g	CAGL0B01771g	CAGL0F01023g	CAGL0B03069g
CAGL0H05137g	CAGL0E00693g	CAGL0F02035g	CAGL0B03201g
CAGL0J04290g	CAGL0C03828g	CAGL0F02167g	CAGL0B03465g
CAGL0J06380g	CAGL0F06523g	CAGL0F02541g	CAGL0B03663g
CAGL0E04840g	CAGL0H09856g	CAGL0F03245g	CAGL0B03817g
CAGL0H04917g	CAGL0L13431g	CAGL0F03289g	CAGL0B04675g
CAGL0J04004g	CAGL0D05236g	CAGL0F04499g	CAGL0B04895g
CAGL0K02519g	CAGL0I03102g	CAGL0F04763g	CAGL0C00803g
CAGL0M10571g	CAGL0F03949g	CAGL0F05049g	CAGL0C01243g
CAGL0M06633g	CAGL0M00440g	CAGL0F05621g	CAGL0C01595g
