Down_30m	Down_15m	Down_5m	Up_30m	Up_15m	Up_5m
CAGL0A00231g	CAGL0A00231g	CAGL0B01595g	CAGL0A00121g	CAGL0A00121g	CAGL0A01199g
CAGL0A00385g	CAGL0A00627g	CAGL0E05456g	CAGL0A00297g	CAGL0A00517g	CAGL0B01012g
CAGL0A00429g	CAGL0A00869g	CAGL0E05984g	CAGL0A00341g	CAGL0A00539g	CAGL0B02475g
CAGL0A00473g	CAGL0A01155g	CAGL0G02739g	CAGL0A00407g	CAGL0A00561g	CAGL0C00275g
CAGL0A00627g	CAGL0A01760g	CAGL0G03531g	CAGL0A00517g	CAGL0A01243g	CAGL0C00781g
CAGL0A00847g	CAGL0A02321g	CAGL0I07293g	CAGL0A00561g	CAGL0A01650g	CAGL0C00825g
CAGL0A01067g	CAGL0A02992g	CAGL0I10692g	CAGL0A00715g	CAGL0A01716g	CAGL0C01397g
CAGL0A01155g	CAGL0A03432g		CAGL0A00737g	CAGL0A02046g	CAGL0C02321g
CAGL0A01199g	CAGL0A03498g		CAGL0A01045g	CAGL0A03102g	CAGL0C02365g
CAGL0A01221g	CAGL0A03586g		CAGL0A01243g	CAGL0A03476g	CAGL0C05621g
CAGL0A01584g	CAGL0A03828g		CAGL0A01265g	CAGL0A04081g	CAGL0D02662g
CAGL0A01628g	CAGL0A03905g		CAGL0A01650g	CAGL0A04675g	CAGL0D06688g
CAGL0A01914g	CAGL0A04169g		CAGL0A01716g	CAGL0A04697g	CAGL0E04554g
CAGL0A01958g	CAGL0A04367g		CAGL0A01826g	CAGL0A04906g	CAGL0E05632g
CAGL0A02090g	CAGL0A04389g		CAGL0A01870g	CAGL0B00143g	CAGL0F00605g
CAGL0A02321g	CAGL0B01397g		CAGL0A02002g	CAGL0B00902g	CAGL0F04279g
CAGL0A02673g	CAGL0B01485g		CAGL0A02024g	CAGL0B00990g	CAGL0F04521g
CAGL0A02772g	CAGL0B01595g		CAGL0A02046g	CAGL0B01419g	CAGL0F08085g
CAGL0A03256g	CAGL0B01771g		CAGL0A02145g	CAGL0B02343g	CAGL0F08745g
CAGL0A03498g	CAGL0B02079g		CAGL0A02750g	CAGL0B02475g	CAGL0F08767g
CAGL0A03652g	CAGL0B02145g		CAGL0A03058g	CAGL0B03069g	CAGL0G01122g
CAGL0A03674g	CAGL0B02673g		CAGL0A03102g	CAGL0B03201g	CAGL0G05522g
CAGL0A03828g	CAGL0B04169g		CAGL0A03146g	CAGL0B03465g	CAGL0G06710g
CAGL0A04015g	CAGL0B04851g		CAGL0A03344g	CAGL0B03663g	CAGL0G09647g
CAGL0A04037g	CAGL0B04873g		CAGL0A03476g	CAGL0B03817g	CAGL0H00704g
CAGL0A04169g	CAGL0C00561g		CAGL0A03740g	CAGL0B04675g	CAGL0H04939g
CAGL0A04213g	CAGL0C01639g		CAGL0A03872g	CAGL0B04895g	CAGL0H05137g
CAGL0A04257g	CAGL0C02211g		CAGL0A03905g	CAGL0C00275g	CAGL0H07337g
CAGL0B00220g	CAGL0C02299g		CAGL0A04081g	CAGL0C00781g	CAGL0I00286g
CAGL0B00286g	CAGL0C03135g		CAGL0A04103g	CAGL0C00803g	CAGL0I08591g
CAGL0B00330g	CAGL0C04136g		CAGL0A04147g	CAGL0C01243g	CAGL0I10010g
CAGL0B00352g	CAGL0C04389g		CAGL0A04301g	CAGL0C01595g	CAGL0J01683g
CAGL0B00374g	CAGL0C04411g		CAGL0A04477g	CAGL0C01705g	CAGL0J03080g
CAGL0B00484g	CAGL0C04851g		CAGL0A04675g	CAGL0C02233g	CAGL0J03212g
CAGL0B00792g	CAGL0D00220g		CAGL0A04697g	CAGL0C02321g	CAGL0J05390g
CAGL0B00880g	CAGL0D00682g		CAGL0A04719g	CAGL0C02365g	CAGL0J10494g
CAGL0B01122g	CAGL0D00880g		CAGL0A04829g	CAGL0C02893g	CAGL0K04719g
CAGL0B01232g	CAGL0D01716g		CAGL0A04906g	CAGL0C03223g	CAGL0K07183g
CAGL0B01397g	CAGL0D02684g		CAGL0B00121g	CAGL0C03267g	CAGL0K08338g
CAGL0B01463g	CAGL0D02816g		CAGL0B00143g	CAGL0C03740g	CAGL0L00231g
CAGL0B01485g	CAGL0D02860g		CAGL0B00242g	CAGL0C04719g	CAGL0L05258g
CAGL0B01507g	CAGL0D03410g		CAGL0B00638g	CAGL0C05621g	CAGL0L05280g
CAGL0B01771g	CAGL0D04180g		CAGL0B00682g	CAGL0C05643g	CAGL0L05742g
CAGL0B01837g	CAGL0D04642g		CAGL0B00726g	CAGL0D00198g	CAGL0L06424g
CAGL0B01881g	CAGL0D04884g		CAGL0B00748g	CAGL0D01474g	CAGL0L08536g
CAGL0B02057g	CAGL0D05236g		CAGL0B00770g	CAGL0D01496g	CAGL0L09383g
CAGL0B02079g	CAGL0D05258g		CAGL0B00814g	CAGL0D02112g	CAGL0M02629g
CAGL0B02145g	CAGL0D06094g		CAGL0B00858g	CAGL0D04422g	CAGL0M05401g
CAGL0B02475g	CAGL0D06644g		CAGL0B00902g	CAGL0D05434g	CAGL0M11902g
CAGL0B02673g	CAGL0E00209g		CAGL0B00946g	CAGL0D05456g	
CAGL0B02717g	CAGL0E00253g		CAGL0B00990g	CAGL0D05632g	
CAGL0B02882g	CAGL0E00649g		CAGL0B01078g	CAGL0D06402g	
CAGL0B02926g	CAGL0E01705g		CAGL0B01100g	CAGL0D06424g	
CAGL0B03091g	CAGL0E02233g		CAGL0B01243g	CAGL0D06600g	
CAGL0B03223g	CAGL0E02343g		CAGL0B01419g	CAGL0D06732g	
CAGL0B03399g	CAGL0E02409g		CAGL0B01595g	CAGL0E00803g	
CAGL0B03553g	CAGL0E02673g		CAGL0B01639g	CAGL0E01243g	
CAGL0B03641g	CAGL0E02893g		CAGL0B01727g	CAGL0E01287g	
CAGL0B03707g	CAGL0E03047g		CAGL0B01749g	CAGL0E01529g	
CAGL0B03795g	CAGL0E03806g		CAGL0B01793g	CAGL0E01771g	
CAGL0B03861g	CAGL0E04224g		CAGL0B01925g	CAGL0E01793g	
CAGL0B03993g	CAGL0E05456g		CAGL0B02101g	CAGL0E01815g	
CAGL0B04125g	CAGL0E05720g		CAGL0B02365g	CAGL0E01837g	
CAGL0B04147g	CAGL0F01023g		CAGL0B02387g	CAGL0E03201g	
CAGL0B04169g	CAGL0F02035g		CAGL0B02431g	CAGL0E03652g	
CAGL0B04191g	CAGL0F02167g		CAGL0B02453g	CAGL0E03674g	
CAGL0B04235g	CAGL0F02541g		CAGL0B02563g	CAGL0E03762g	
CAGL0B04279g	CAGL0F03245g		CAGL0B02607g	CAGL0E03894g	
CAGL0B04433g	CAGL0F03289g		CAGL0B02629g	CAGL0E04004g	
CAGL0B04851g	CAGL0F04499g		CAGL0B02695g	CAGL0E04356g	
CAGL0B04873g	CAGL0F04763g		CAGL0B02838g	CAGL0E04774g	
CAGL0B04961g	CAGL0F05049g		CAGL0B02860g	CAGL0E04906g	
CAGL0C00715g	CAGL0F05621g		CAGL0B03069g	CAGL0E05170g	
CAGL0C00737g	CAGL0F05709g		CAGL0B03201g	CAGL0E05280g	
CAGL0C00759g	CAGL0F05797g		CAGL0B03267g	CAGL0E05566g	
CAGL0C01221g	CAGL0F05885g		CAGL0B03289g	CAGL0E05654g	
CAGL0C01287g	CAGL0F05929g		CAGL0B03443g	CAGL0E06006g	
CAGL0C01331g	CAGL0F06523g		CAGL0B03465g	CAGL0E06094g	
CAGL0C01419g	CAGL0F07183g		CAGL0B03619g	CAGL0E06292g	
CAGL0C01441g	CAGL0F07271g		CAGL0B03685g	CAGL0E06380g	
CAGL0C01617g	CAGL0F07337g		CAGL0B03817g	CAGL0E06424g	
CAGL0C01639g	CAGL0F07557g		CAGL0B03839g	CAGL0E06688g	
CAGL0C01749g	CAGL0F07623g		CAGL0B03883g	CAGL0F00605g	
CAGL0C01925g	CAGL0F07645g		CAGL0B04059g	CAGL0F01111g	
CAGL0C02189g	CAGL0F07843g		CAGL0B04103g	CAGL0F01265g	
CAGL0C02211g	CAGL0F09009g		CAGL0B04323g	CAGL0F01793g	
CAGL0C02299g	CAGL0G00264g		CAGL0B04367g	CAGL0F01815g	
CAGL0C02343g	CAGL0G00484g		CAGL0B04675g	CAGL0F02013g	
CAGL0C02497g	CAGL0G00704g		CAGL0B05071g	CAGL0F02519g	
CAGL0C02585g	CAGL0G00748g		CAGL0B05093g	CAGL0F03267g	
CAGL0C03003g	CAGL0G02629g		CAGL0B05104g	CAGL0F03399g	
CAGL0C03135g	CAGL0G03047g		CAGL0C00110g	CAGL0F03707g	
CAGL0C03223g	CAGL0G03069g		CAGL0C00275g	CAGL0F04037g	
CAGL0C03289g	CAGL0G03135g		CAGL0C00429g	CAGL0F04279g	
CAGL0C03355g	CAGL0G03223g		CAGL0C00451g	CAGL0F04521g	
CAGL0C03369	CAGL0G03377g		CAGL0C00539g	CAGL0F04543g	
CAGL0C03531g	CAGL0G04191g		CAGL0C00781g	CAGL0F04631g	
CAGL0C03630g	CAGL0G04389g		CAGL0C01243g	CAGL0F04697g	
CAGL0C03784g	CAGL0G04499g		CAGL0C01353g	CAGL0F04895g	
CAGL0C04114g	CAGL0G04653g		CAGL0C01375g	CAGL0F04917g	
CAGL0C04136g	CAGL0G04675g		CAGL0C01397g	CAGL0F07007g	
CAGL0C04169g	CAGL0G04763g		CAGL0C01595g	CAGL0F07029g	
CAGL0C04235g	CAGL0G05423g		CAGL0C01705g	CAGL0F07117g	
CAGL0C04279g	CAGL0G05467g		CAGL0C01771g	CAGL0F07293g	
CAGL0C04389g	CAGL0G05720g		CAGL0C02233g	CAGL0F07359g	
CAGL0C04411g	CAGL0G05808g		CAGL0C02321g	CAGL0F07513g	
CAGL0C04565g	CAGL0G05874g		CAGL0C02365g	CAGL0F07777g	
CAGL0C04851g	CAGL0G05984g		CAGL0C02651g	CAGL0F07799g	
CAGL0C04983g	CAGL0G06248g		CAGL0C02739g	CAGL0F07975g	
CAGL0C05181g	CAGL0G07062g		CAGL0C02893g	CAGL0F08261g	
CAGL0C05379g	CAGL0G07128g		CAGL0C03069g	CAGL0F08305g	
CAGL0C05467g	CAGL0G07249g		CAGL0C03113g	CAGL0F08745g	
CAGL0D00176g	CAGL0G07513g		CAGL0C03311g	CAGL0F09097g	
CAGL0D00220g	CAGL0G07953g		CAGL0C03333g	CAGL0G00110g	
CAGL0D00286g	CAGL0G07975g		CAGL0C03674g	CAGL0G00132g	
CAGL0D00374g	CAGL0G08316g		CAGL0C03696g	CAGL0G01012g	
CAGL0D00528g	CAGL0G08492g		CAGL0C03740g	CAGL0G01100g	
CAGL0D00550g	CAGL0G08668g		CAGL0C03850g	CAGL0G01122g	
CAGL0D00682g	CAGL0G09108g		CAGL0C04092g	CAGL0G01474g	
CAGL0D00836g	CAGL0G09515g		CAGL0C04191g	CAGL0G02057g	
CAGL0D00880g	CAGL0G09581g		CAGL0C04323g	CAGL0G02673g	
CAGL0D01716g	CAGL0G10021g		CAGL0C04455g	CAGL0G02717g	
CAGL0D01826g	CAGL0H00374g		CAGL0C04543g	CAGL0G03179g	
CAGL0D02002g	CAGL0H00638g		CAGL0C04587g	CAGL0G03289g	
CAGL0D02354g	CAGL0H01419g		CAGL0C04609g	CAGL0G03531g	
CAGL0D02706g	CAGL0H01661g		CAGL0C04719g	CAGL0G03883g	
CAGL0D02816g	CAGL0H01683g		CAGL0C04741g	CAGL0G05247g	
CAGL0D02838g	CAGL0H02079g		CAGL0C05027g	CAGL0G05632g	
CAGL0D02860g	CAGL0H02299g		CAGL0C05269g	CAGL0G05830g	
CAGL0D02904g	CAGL0H02937g		CAGL0C05489g	CAGL0G06182g	
CAGL0D02970g	CAGL0H03047g		CAGL0C05533g	CAGL0G06402g	
CAGL0D03124g	CAGL0H04455g		CAGL0C05555g	CAGL0G06732g	
