ORF	5m	15m	30m	4h	RNAP_subunits
CgRPC82	-0.20082357	-0.950870308	-2.960828333	-1.555046026	III
CgRET1	0.245609093	-0.261521718	-2.523133533	-0.046950252	III
CgRPC31	0.29056022	-0.184688248	-2.590672635	1.437349909	III
CAGL0H08415g	-0.317878192	-0.870285784	-3.104027104	1.617042687	III
CgRPC37	-0.168800403	-0.757995079	-3.220304445	2.180787391	III
CgRPC19	0.007992669	-0.524722916	-3.636697479	2.192237412	III
CgRPC53	-0.405528083	-1.057785036	-2.833833795	2.501565469	III
CAGL0J00869g	0.202128764	-0.215312718	-3.133143023	2.895087648	III
CgRPO31	0.013385097	-0.761714048	-3.491239712	2.998046533	III
CgRPC40	0.042116886	-0.407967336	-3.171155888	3.130220913	III
CgRPC34	-0.011314373	-1.067679839	-3.220627691	3.348155555	III
CgRPO21	0.232308067	0.164914114	-0.52971821	0.114806724	II
CgRPB4	-0.150018547	-0.305758809	-0.501160142	0.350979833	II
CgRPB2	0.645385614	0.165340286	-0.254596318	0.451907583	II
CgRPB9	0.351339405	0.318259191	-0.174188109	1.509518032	II
CgRPB7	0.047548699	-0.283408926	-0.69610925	1.768857353	II
CgRPB11	-0.042186958	-0.146368722	-0.702202717	2.314391987	II
CgRPB3	-0.040312737	-0.064325142	-0.658235096	2.900915663	II
CgRPA14	-0.363091543	-0.57689515	-1.70999072	-0.550811235	I
CgRPA43	-0.386115705	-0.993214814	-3.982896448	0.7884147	I
CgRPA34	-0.080091143	-0.776719635	-3.88541685	1.324027284	I
CgRPA190	0.134115558	-0.168298667	-2.847204055	2.149343928	I
CgRPA49	-0.129104182	-0.735349329	-3.926827788	2.307504828	I
CgRPA12	-0.112121966	-0.818435696	-4.417259588	3.443462514	I
CgRPA135	0.133351026	-0.141521799	-2.88205256	3.853766336	I
CgRPB10	0	0	0	1.707517182	Common
CgRPO26	0.316952187	-0.125694794	-2.14566812	1.82885248	Common
CAGL0I07799g	-0.241180023	-0.479277245	-2.733186189	1.984129216	Common
CgRPC10	-0.440646403	-1.074832427	-1.599308255	2.692099801	Common
CgRPB8	-0.199317735	-0.57614234	-2.457847769	3.366979429	Common
