Time	wt_R1	wt_R2	wtWater_R1	wtWater_R2	wtH2O2_R1	wtH2O2_R2	YPD_R1	YPD_R2
0	0.107	0.106	0.124	0.113	0.122	0.114	0.103	0.103
0.5	0.107	0.109	0.124	0.115	0.122	0.116	0.103	0.103
1	0.111	0.112	0.128	0.119	0.126	0.119	0.103	0.104
1.5	0.117	0.118	0.133	0.123	0.131	0.125	0.103	0.103
2	0.126	0.127	0.142	0.132	0.14	0.134	0.103	0.103
2.5	0.139	0.14	0.155	0.144	0.153	0.147	0.103	0.103
3	0.159	0.159	0.173	0.162	0.172	0.165	0.103	0.103
3.5	0.186	0.188	0.202	0.188	0.2	0.19	0.103	0.103
4	0.229	0.229	0.244	0.227	0.241	0.229	0.103	0.103
4.5	0.312	0.312	0.332	0.311	0.295	0.259	0.103	0.103
5	0.41	0.411	0.433	0.408	0.302	0.265	0.103	0.103
5.5	0.546	0.544	0.572	0.54	0.305	0.261	0.103	0.103
6	0.711	0.706	0.739	0.703	0.306	0.263	0.103	0.103
6.5	0.899	0.893	0.926	0.887	0.307	0.263	0.103	0.103
7	1.093	1.086	1.12	1.08	0.31	0.265	0.103	0.103
7.5	1.286	1.277	1.312	1.273	0.311	0.27	0.103	0.103
8	1.467	1.46	1.488	1.458	0.321	0.278	0.103	0.103
8.5	1.616	1.61	1.635	1.612	0.334	0.289	0.103	0.103
9	1.733	1.73	1.749	1.737	0.353	0.304	0.103	0.103
9.5	1.827	1.824	1.841	1.832	0.379	0.325	0.103	0.103
10	1.899	1.899	1.911	1.907	0.415	0.353	0.103	0.103
10.5	1.954	1.956	1.965	1.961	0.466	0.392	0.103	0.103
11	1.985	1.985	2	1.993	0.537	0.45	0.103	0.103
11.5	1.998	1.997	2.016	2.007	0.631	0.529	0.103	0.103
12	2.002	1.999	2.024	2.014	0.751	0.637	0.103	0.103
12.5	2.004	2.001	2.027	2.016	0.89	0.764	0.103	0.103
13	2.004	2.001	2.028	2.018	1.04	0.916	0.103	0.103
13.5	2.003	2	2.029	2.018	1.196	1.074	0.103	0.103
14	2.004	1.999	2.029	2.018	1.349	1.238	0.103	0.103
14.5	2.002	1.997	2.028	2.017	1.49	1.395	0.103	0.103
15	2.002	1.996	2.028	2.016	1.613	1.538	0.103	0.103
15.5	1.999	1.995	2.027	2.017	1.714	1.657	0.103	0.103
16	1.998	1.994	2.026	2.016	1.798	1.754	0.103	0.103
16.5	1.997	1.992	2.027	2.015	1.868	1.837	0.102	0.103
17	1.998	1.992	2.025	2.014	1.923	1.904	0.103	0.103
17.5	1.997	1.991	2.025	2.014	1.954	1.939	0.103	0.103
18	1.995	1.988	2.024	2.013	1.968	1.955	0.103	0.103
18.5	1.996	1.989	2.024	2.013	1.976	1.96	0.103	0.103
19	1.994	1.989	2.023	2.012	1.979	1.964	0.102	0.103
19.5	1.992	1.988	2.023	2.012	1.982	1.965	0.102	0.103
20	1.993	1.986	2.023	2.012	1.983	1.966	0.103	0.103
20.5	1.992	1.985	2.022	2.011	1.983	1.966	0.103	0.103
21	1.991	1.984	2.022	2.01	1.982	1.966	0.102	0.103
21.5	1.99	1.984	2.022	2.01	1.983	1.965	0.103	0.103
22	1.991	1.983	2.021	2.01	1.982	1.965	0.102	0.103
22.5	1.99	1.983	2.021	2.009	1.982	1.964	0.102	0.103
23	1.99	1.982	2.02	2.01	1.981	1.964	0.102	0.103
23.5	1.991	1.981	2.021	2.009	1.982	1.963	0.102	0.103
