ORF	5m	15m	30m	4h
CAGL0B03069g	-0.048297538	1.047863219	2.184069066	-1.697378758
CAGL0D01298g	-0.076480208	0.106995204	1.159489446	-2.728006206
CAGL0I02200g	0.000670171	0.292689797	1.026869987	-2.20833129
CAGL0J07612g	0.306464107	0.912286991	2.650210212	-1.875563173
CAGL0K04235g	0.241384203	1.7587083	2.43532855	-4.267265953
CAGL0M06963g	0.628003414	1.909859847	2.385723907	-2.480323707
CAGL0M10956g	0	0.520710955	1.367437189	-1.687563533
CAGL0M13343g	-0.217921866	0.03224039	1.045166476	-1.813508381
CAGL0H04939g	1.072192802	0.701704622	0.13779341	-8.393418766
CAGL0I04048g	-0.031529705	0.67197855	3.073376134	-2.613009007
CAGL0I05500g	-0.140433378	-0.472913032	-2.371270683	1.274761248
CAGL0K03421g	-0.420762083	0.870986884	2.637787585	-1.750720642
CAGL0K11297g	0.285309876	0.814870538	2.49363561	-2.660617102
CAGL0M02981g	0.069487599	0.760069119	2.278951716	-1.613641668
CAGL0D06688g	1.576207266	0.704594767	1.745651417	-1.895075013
CAGL0I01386g	0.184265585	0.843449823	1.681214991	-2.459836608
CAGL0L01265g	-0.073884616	0.431549557	2.23812351	-1.612627242
CAGL0C01705g	0.489586592	2.522069789	4.711799616	-3.321683169
CAGL0K00803g	0.149652284	1.982838401	4.483353551	-1.327338095
CAGL0K10868g	0.793470165	4.168449083	5.089484888	-3.814757995
CAGL0A00231g	-0.184058793	-1.129534019	-1.972495268	1.053404337
CAGL0A00341g	-0.301827298	0.784474902	1.142010829	-4.023773817
CAGL0A00385g	0.40397921	-0.076164426	-1.256377231	2.938821008
CAGL0A00429g	0.019946401	-0.380057285	-1.282480648	3.177279916
CAGL0A00517g	0.216832663	1.027928929	1.481030267	-1.202742576
CAGL0A00539g	-0.127380659	1.191164554	0.68167193	-2.277943448
CAGL0A00627g	-0.445257571	-1.564403327	-2.467528915	3.708691135
CAGL0A00715g	-0.550352407	0.178052277	1.543828105	-1.703293322
CAGL0A00737g	0.565776051	0.320940513	1.129573556	-2.00939645
CAGL0A00847g	-0.473630579	-0.98193055	-2.284969252	1.160528552
CAGL0A01045g	-0.036640078	0.402964731	1.037113145	-3.966042276
CAGL0A01067g	0	-0.461683768	-1.636482994	1.811633409
CAGL0A01155g	-0.106247667	-1.493306642	-2.350252455	3.870309317
CAGL0A01628g	0.309290119	-0.959910913	-1.545602222	1.99060355
CAGL0A01716g	0.627035579	1.910374757	2.501551738	-1.994591818
CAGL0A01826g	0.011854808	0.700204415	1.969725356	-10.8836488
CAGL0A01870g	-0.32667487	-0.260876288	1.62913751	-5.716458905
CAGL0A02002g	-0.096714635	0.577775637	3.221860379	-4.407046456
CAGL0A02024g	-0.072577833	0.588485356	1.170874365	-1.376929486
CAGL0A02046g	-0.109991226	2.029822494	2.190443541	-1.766927614
CAGL0A02090g	0.042160301	-0.122706056	-1.54290461	4.514471454
CAGL0A02145g	0.180692664	0.583080381	2.138889962	-3.109787561
CAGL0A02673g	-0.173561221	-0.363201671	-1.584024245	1.849588287
CAGL0A02750g	-0.081948596	0.19477861	1.1778053	-1.499530461
CAGL0A02772g	-0.366795629	-0.860969516	-1.683587052	1.418697203
CAGL0A03058g	0.331049542	0.689008339	1.220958783	-1.218375322
CAGL0A03256g	-0.084865179	-0.721014279	-1.294157128	3.211707276
CAGL0A03344g	0.054846186	0.603867611	2.264305036	-1.424433948
CAGL0A03476g	0.012657503	1.562011855	3.093633317	-1.481668414
CAGL0A03740g	0.281852828	0.704806321	1.815414364	-2.37999052
CAGL0A03828g	-0.110140466	-1.527213433	-2.648078152	3.764072478
CAGL0A03872g	0.311153885	0.589087259	1.383491524	-2.223191534
CAGL0A04015g	-0.110091525	-0.422561928	-2.956139676	1.784560617
CAGL0A04103g	0.393214144	0.580480879	1.24732462	-1.441950755
CAGL0A04169g	0.275389037	-1.327656625	-2.882717401	1.197218361
CAGL0A04213g	0.0289979	-0.28320324	-1.328125694	3.18085664
CAGL0A04477g	0.073957071	0.28767314	1.105051345	-1.229131032
CAGL0A04675g	0.479151137	1.846042374	3.868642851	-1.654038635
CAGL0A04697g	0.696197256	1.802059143	2.926826423	-3.613599592
CAGL0B00352g	-0.161289956	-0.727911112	-3.690679048	1.493103891
